Id,Prediction
0,0
1,0
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,0
